REF_DATE,GEO,DGUID,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1947-10,Prince Edward Island,2016A000211,Births,Number,223,units,0,v69,3.1,668,,,,0
1947-10,Prince Edward Island,2016A000211,Deaths,Number,223,units,0,v84,3.2,232,,,,0
1947-10,Prince Edward Island,2016A000211,Marriages,Number,223,units,0,v99,3.3,191,,,t,0
1947-10,Nova Scotia,2016A000212,Births,Number,223,units,0,v70,4.1,4348,,,,0
1947-10,Nova Scotia,2016A000212,Deaths,Number,223,units,0,v85,4.2,1467,,,,0
1947-10,Nova Scotia,2016A000212,Marriages,Number,223,units,0,v100,4.3,1383,,,t,0
1947-10,New Brunswick,2016A000213,Births,Number,223,units,0,v71,5.1,3993,,,,0
1947-10,New Brunswick,2016A000213,Deaths,Number,223,units,0,v86,5.2,1235,,,,0
1947-10,New Brunswick,2016A000213,Marriages,Number,223,units,0,v101,5.3,1254,,,t,0
1947-10,Quebec,2016A000224,Births,Number,223,units,0,v72,6.1,26221,,,,0
1947-10,Quebec,2016A000224,Deaths,Number,223,units,0,v87,6.2,8185,,,,0
1947-10,Quebec,2016A000224,Marriages,Number,223,units,0,v102,6.3,7282,,,t,0
1947-10,Ontario,2016A000235,Births,Number,223,units,0,v73,7.1,24949,,,,0
1947-10,Ontario,2016A000235,Deaths,Number,223,units,0,v88,7.2,10703,,,,0
1947-10,Ontario,2016A000235,Marriages,Number,223,units,0,v103,7.3,10352,,,t,0
1947-10,Manitoba,2016A000246,Births,Number,223,units,0,v74,8.1,4572,,,,0
1947-10,Manitoba,2016A000246,Deaths,Number,223,units,0,v89,8.2,1670,,,,0
1947-10,Manitoba,2016A000246,Marriages,Number,223,units,0,v104,8.3,2122,,,t,0
1947-10,Saskatchewan,2016A000247,Births,Number,223,units,0,v75,9.1,5192,,,,0
1947-10,Saskatchewan,2016A000247,Deaths,Number,223,units,0,v90,9.2,1650,,,,0
1947-10,Saskatchewan,2016A000247,Marriages,Number,223,units,0,v105,9.3,2684,,,t,0
1947-10,Alberta,2016A000248,Births,Number,223,units,0,v76,10.1,5538,,,,0
1947-10,Alberta,2016A000248,Deaths,Number,223,units,0,v91,10.2,1606,,,,0
1947-10,Alberta,2016A000248,Marriages,Number,223,units,0,v106,10.3,2526,,,t,0
1947-10,British Columbia,2016A000259,Births,Number,223,units,0,v64,11.1,6332,,,,0
1947-10,British Columbia,2016A000259,Deaths,Number,223,units,0,v79,11.2,2827,,,,0
1947-10,British Columbia,2016A000259,Marriages,Number,223,units,0,v94,11.3,2906,,,t,0
1947-10,Yukon,2016A000260,Births,Number,223,units,0,v65,12.1,56,,,,0
1947-10,Yukon,2016A000260,Deaths,Number,223,units,0,v80,12.2,16,,,,0
1947-10,Yukon,2016A000260,Marriages,Number,223,units,0,v95,12.3,19,,,t,0
1947-10,Northwest Territories including Nunavut,,Births,Number,223,units,0,v66,13.1,133,,,t,0
1947-10,Northwest Territories including Nunavut,,Deaths,Number,223,units,0,v81,13.2,83,,,t,0
1947-10,Northwest Territories including Nunavut,,Marriages,Number,223,units,0,v96,13.3,10,,,t,0
1948-01,Canada,2016A000011124,Births,Number,223,units,0,v62,1.1,85176,,,,0
1948-01,Canada,2016A000011124,Deaths,Number,223,units,0,v77,1.2,32815,,,,0
1948-01,Canada,2016A000011124,Marriages,Number,223,units,0,v92,1.3,16199,,,t,0
1948-01,Prince Edward Island,2016A000211,Births,Number,223,units,0,v69,3.1,681,,,,0
