ref_date,region,birth_or_death,num_people,growth_from_births
"1949-04-01 00:00:00","British Columbia",Births,7091,4287
"1949-04-01 00:00:00",Canada,Births,96444,64290
"1949-04-01 00:00:00",Canada,Deaths,32154,64290
"1949-04-01 00:00:00",Manitoba,Births,5066,3279
"1949-04-01 00:00:00",Manitoba,Deaths,1787,3279
"1949-04-01 00:00:00","New Brunswick",Births,4413,3140
"1949-04-01 00:00:00","New Brunswick",Deaths,1273,3140
"1949-04-01 00:00:00","Newfoundland and Labrador",Births,3019,2369
"1949-04-01 00:00:00","Newfoundland and Labrador",Deaths,650,2369
"1949-04-01 00:00:00","Northwest Territories including Nunavut",Deaths,162,1
"1949-04-01 00:00:00","Northwest Territories including Nunavut",Births,163,1
"1949-04-01 00:00:00","Nova Scotia",Births,4583,3087
"1949-04-01 00:00:00","Nova Scotia",Deaths,1496,3087
"1949-04-01 00:00:00",Ontario,Births,27515,16480
"1949-04-01 00:00:00",Ontario,Deaths,11035,16480
"1949-04-01 00:00:00","Prince Edward Island",Births,760,541
"1949-04-01 00:00:00","Prince Edward Island",Deaths,219,541
"1949-04-01 00:00:00",Quebec,Births,31341,22290
"1949-04-01 00:00:00",Quebec,Deaths,9051,22290
"1949-04-01 00:00:00",Saskatchewan,Births,5858,4084
"1949-04-01 00:00:00",Saskatchewan,Deaths,1774,4084
"1949-04-01 00:00:00",Yukon,Births,73,50
"1949-04-01 00:00:00",Yukon,Deaths,23,50
"1949-07-01 00:00:00",Alberta,Births,6520,4879
"1949-07-01 00:00:00",Alberta,Deaths,1641,4879
"1949-07-01 00:00:00","British Columbia",Births,7360,4732
"1949-07-01 00:00:00","British Columbia",Deaths,2628,4732
"1949-07-01 00:00:00",Canada,Births,95731,66972
"1949-07-01 00:00:00",Canada,Deaths,28759,66972
"1949-07-01 00:00:00",Manitoba,Births,5098,3381
"1949-07-01 00:00:00",Manitoba,Deaths,1717,3381
"1949-07-01 00:00:00","New Brunswick",Births,4308,3224
"1949-07-01 00:00:00","New Brunswick",Deaths,1084,3224
"1949-07-01 00:00:00","Newfoundland and Labrador",Births,3286,2675
"1949-07-01 00:00:00","Newfoundland and Labrador",Deaths,611,2675
"1949-07-01 00:00:00","Northwest Territories including Nunavut",Deaths,105,53
"1949-07-01 00:00:00","Northwest Territories including Nunavut",Births,158,53
"1949-07-01 00:00:00","Nova Scotia",Births,4679,3282
"1949-07-01 00:00:00","Nova Scotia",Deaths,1397,3282
"1949-07-01 00:00:00",Ontario,Births,27630,17794
"1949-07-01 00:00:00",Ontario,Deaths,9836,17794
"1949-07-01 00:00:00","Prince Edward Island",Births,725,495
"1949-07-01 00:00:00","Prince Edward Island",Deaths,230,495
"1949-07-01 00:00:00",Quebec,Births,30076,22101
"1949-07-01 00:00:00",Quebec,Deaths,7975,22101
"1949-07-01 00:00:00",Saskatchewan,Deaths,1517,4303
"1949-07-01 00:00:00",Saskatchewan,Births,5820,4303
"1949-07-01 00:00:00",Yukon,Deaths,18,53
"1949-07-01 00:00:00",Yukon,Births,71,53
"1949-10-01 00:00:00",Alberta,Deaths,1801,4333
"1949-10-01 00:00:00",Alberta,Births,6134,4333
"1949-10-01 00:00:00","British Columbia",Deaths,2871,3727
"1949-10-01 00:00:00","British Columbia",Births,6598,3727
"1949-10-01 00:00:00",Canada,Births,86941,56051
"1949-10-01 00:00:00",Canada,Deaths,30890,56051
"1949-10-01 00:00:00",Manitoba,Deaths,1665,2857
"1949-10-01 00:00:00",Manitoba,Births,4522,2857
"1949-10-01 00:00:00","New Brunswick",Births,3813,2604
"1949-10-01 00:00:00","New Brunswick",Deaths,1209,2604
"1949-10-01 00:00:00","Newfoundland and Labrador",Births,3032,2230
"1949-10-01 00:00:00","Newfoundland and Labrador",Deaths,802,2230
"1949-10-01 00:00:00","Northwest Territories including Nunavut",Deaths,60,93
"1949-10-01 00:00:00","Northwest Territories including Nunavut",Births,153,93
"1949-10-01 00:00:00","Nova Scotia",Deaths,1490,2680
"1949-10-01 00:00:00","Nova Scotia",Births,4170,2680
